scientific_name,common_name,family,subfamily,tribe,genus,specific_epithet,BM_kg,percent_grass,diet_category,habitat,ref,max_BM_kg_animaldiversity,max_BM_kg_castello,HL_male_cm,HL_female_cm,BM_Lemaitre_etal,male_antler_weight_g,max_BM,interspecific_GM,intraspecific_GM,animaldiversity
Cephalophus_jentinki,Jentink's duiker,Bovidae,Cephalophinae,Cephalophini,Cephalophus,jentinki,70.0003,1,BR,Closed,Bro-Jorgensen (2008),,91,21,14,,,91,,,https://animaldiversity.org/accounts/Cephalophus_jentinki/
Cephalophus_dorsalis,bay duiker,Bovidae,Cephalophinae,Cephalophini,Cephalophus,dorsalis,20,0,BR,Closed,Sacher and Staffeldt (1974),,24,8,5,,,24,,,https://animaldiversity.org/accounts/Cephalophus_dorsalis/
Sylvicapra_grimmia,bush duiker,Bovidae,Cephalophinae,Cephalophini,Sylvicapra,grimmia,19.4998,12,BR,Mixed,Schiviz et al (2008),25,26,18,0,,,26,,,https://animaldiversity.org/accounts/Sylvicapra_grimmia/
Cephalophus_zebra,zebra duiker,Bovidae,Cephalophinae,Cephalophini,Cephalophus,zebra,17.5001,1,BR,Closed,Bro-Jorgensen (2008),20,23,5,3,,,23,,,https://animaldiversity.org/accounts/Cephalophus_zebra/
Cephalophus_adersi,Aders's duiker,Bovidae,Cephalophinae,Cephalophini,Cephalophus,adersi,9.25,2.5,BR,Closed,Bro-Jorgensen (2008),,12,5,3,,,12,,,https://animaldiversity.org/accounts/Cephalophus_adersi/
Cephalophus_leucogaster,white-bellied duiker,Bovidae,Cephalophinae,Cephalophini,Cephalophus,leucogaster,12.6999,0,BR,Closed,Perez-Barberia and Gordon (2001),,21,6.9,2.9,,,21,,,https://animaldiversity.org/accounts/Cephalophus_leucogaster/
Cephalophus_rufilatus,red-flanked duiker,Bovidae,Cephalophinae,Cephalophini,Cephalophus,rufilatus,12,1,BR,Closed,Bro-Jorgensen (2008),14,14,9.5,4,,,14,,,https://animaldiversity.org/accounts/Cephalophus_rufilatus/
Cephalophus_nigrifrons,black-fronted duiker,Bovidae,Cephalophinae,Cephalophini,Cephalophus,nigrifrons,13.8998,0,BR,Closed,Heywood (2010),,18,9.5,5.2,,,18,,,https://animaldiversity.org/accounts/Cephalophus_nigrifrons/
Cephalophus_natalensis,Natal duiker,Bovidae,Cephalophinae,Cephalophini,Cephalophus,natalensis,14.5001,1,BR,Closed,Clauss et al (2007 CBP),,15,8,4.4,,,15,,,https://animaldiversity.org/accounts/Cephalophus_natalensis/
Cephalophus_harveyi,Harvey's duiker,Bovidae,Cephalophinae,Cephalophini,Cephalophus,harveyi,,,,,,,14,9,0,,,14,,,https://animaldiversity.org/accounts/Cephalophus_harveyi/
Cephalophus_ogilbyi,Ogilby's duiker,Bovidae,Cephalophinae,Cephalophini,Cephalophus,ogilbyi,20,1,BR,Closed,Perez-Barberia and Gordon (2001),,20,12,6,,,20,,,https://animaldiversity.org/accounts/Cephalophus_ogilbyi/
Cephalophus_weynsi,Weyn's duiker,Bovidae,Cephalophinae,Cephalophini,Cephalophus,weynsi,,,,,,,20,11,5.5,,,20,,,https://animaldiversity.org/accounts/Cephalophus_weynsi/
Cephalophus_callipygus,Peter's duiker,Bovidae,Cephalophinae,Cephalophini,Cephalophus,callipygus,18.2499,2,BR,Closed,Heywood (2010),,24,10,5.8,,,24,,,https://animaldiversity.org/accounts/Cephalophus_callipygus/
Cephalophus_niger,black duiker,Bovidae,Cephalophinae,Cephalophini,Cephalophus,niger,20.4,1,BR,Mixed,Heywood (2010),20,26,9,3,,,26,,,https://animaldiversity.org/accounts/Cephalophus_niger/
Pantholops_hodgsonii,chiru,Bovidae,Pantholopinae,Pantholopini,Pantholops,hodgsonii,27.5,50,IM,Open,Mendoza et al (2006),40,40,70,,,,40,,,https://animaldiversity.org/accounts/Pantholops_hodgsonii/
Ovibos_moschatus,muskox,Bovidae,Caprinae,Ovibovini,Ovibos,moschatus,312.5,50,IM,Open,Nummela (1995),400,410,,,,,410,,,https://animaldiversity.org/accounts/Ovibos_moschatus/
Naemorhedus_griseus,Chinese goral,Bovidae,Caprinae,Naemorhedini,Naemorhedus,griseus,,,,,,,35,23,18,,,35,,,https://animaldiversity.org/accounts/Naemorhedus_griseus/
Naemorhedus_goral,goral,Bovidae,Caprinae,Naemorhedini,Naemorhedus,goral,28.5,50,IM,Open,Mendoza et al (2006),30,42,18,,,,42,,,https://animaldiversity.org/accounts/Naemorhedus_goral/
Naemorhedus_caudatus,Chinese goral,Bovidae,Caprinae,Naemorhedini,Naemorhedus,caudatus,,,,,,32,47,21,,,,47,,,https://animaldiversity.org/accounts/Naemorhedus_caudatus/
Naemorhedus_baileyi,red goral,Bovidae,Caprinae,Naemorhedini,Naemorhedus,baileyi,,,,,,,30,16,13,,,30,,,https://animaldiversity.org/accounts/Naemorhedus_baileyi/
Capricornis_swinhoei,Formosan serow/Taiwan serow,Bovidae,Caprinae,Naemorhedini,Capricornis,swinhoei,,,,,,,30,11.2,,,,30,,,https://animaldiversity.org/accounts/Capricornis_swinhoei/
Capricornis_sumatraensis,serow/Sumatran serow,Bovidae,Caprinae,Naemorhedini,Capricornis,sumatraensis,,,,,,,140,23,,,,140,,,https://animaldiversity.org/accounts/Capricornis_sumatraensis/
Capricornis_milneedwardsii,Chinese serow,Bovidae,Caprinae,Naemorhedini,Capricornis,milneedwardsii,,,,,,,140,26.7,,,,140,,,https://animaldiversity.org/accounts/Capricornis_milneedwardsii/
Capricornis_crispus,Japanese serow,Bovidae,Caprinae,Naemorhedini,Capricornis,crispus,38.5,70,IM,Mixed,Schiviz et al (2008),45,48,15,,,,48,,,https://animaldiversity.org/accounts/Capricornis_crispus/
Oreamnos_americanus,mountain goat,Bovidae,Caprinae,Naemorhedini,Oreamnos,americanus,72.5003,36.5,IM,Open,Mendoza et al (2006),81.8,130,30,,,,130,,,https://animaldiversity.org/accounts/Oreamnos_americanus/
Rupicapra_rupicapra,chamois,Bovidae,Caprinae,Naemorhedini,Rupicapra,rupicapra,26.1,74,IM,Open,Howland et al (2004),50,62,30,,,,62,,,https://animaldiversity.org/accounts/Rupicapra_rupicapra/
Rupicapra_pyrenaica,Pyrenean chamois,Bovidae,Caprinae,Naemorhedini,Rupicapra,pyrenaica,,,,,,50,50,28,,,,50,,,https://animaldiversity.org/accounts/Rupicapra_pyrenaica/
Myotragus_balearicus,,Bovidae,Caprinae,Caprini,Myotragus,balearicus,47.5,,,,"Kohler & Moya - Sola 2004 Reduction of Brain and Sense Organs
in the Fossil Insular Bovid Myotragus",,,,,,,47.5,,,https://animaldiversity.org/accounts/Myotragus_balearicus/
Arabitragus_jayakari,,Bovidae,Caprinae,Caprini,Arabitragus,jayakari,,,,,,,45,32,,,,45,,,https://animaldiversity.org/accounts/Arabitragus_jayakari/
Ammotragus_lervia,aoudad,Bovidae,Caprinae,Caprini,Ammotragus,lervia,48,40,IM,Open,Sacher and Staffeldt (1974),145,145,88,40,,,145,,,https://animaldiversity.org/accounts/Ammotragus_lervia/
Budorcas_taxicolor,takin,Bovidae,Caprinae,Ovibovini,Budorcas,taxicolor,302,50,IM,Open,Mendoza et al (2006),400,350,64,,,,400,,,https://animaldiversity.org/accounts/Budorcas_taxicolor/
Pseudois_nayaur,bharal,Bovidae,Caprinae,Caprini,Pseudois,nayaur,45,68,IM,Open,Mendoza et al (2006),75,75,80,20,,,75,,,https://animaldiversity.org/accounts/Pseudois_nayaur/
Hemitragus_jemlahicus,Himalayan tahr,Bovidae,Caprinae,Caprini,Hemitragus,jemlahicus,35.2,75,GR,Open,Mendoza et al (2006),90,140,45,,,,140,,,https://animaldiversity.org/accounts/Hemitragus_jemlahicus/
Capra_sibirica,Siberian ibex,Bovidae,Caprinae,Caprini,Capra,sibirica,130,44,IM,Open,Bro-Jorgensen (2008),100,130,148,39,,,130,,,https://animaldiversity.org/accounts/Capra_sibirica/
Capra_cylindricornis,East Caucasian tur,Bovidae,Caprinae,Caprini,Capra,cylindricornis,,,,,,140,143,90,22,,,143,,,https://animaldiversity.org/accounts/Capra_cylindricornis/
Capra_caucasica,West Caucasian tur,Bovidae,Caprinae,Caprini,Capra,caucasica,55,44,IM,Open,Bro-Jorgensen (2008),100,80,74,30,,,100,,,https://animaldiversity.org/accounts/Capra_caucasica/
Capra_falconeri,markhor,Bovidae,Caprinae,Caprini,Capra,falconeri,41,44,IM,Mixed,Heywood (2010),110,102,160,38,,,110,,,https://animaldiversity.org/accounts/Capra_falconeri/
Capra_hircus,domestic goat,Bovidae,Caprinae,Caprini,Capra,hircus,55,28,IM,Open,Crile and Quiring (1940),113,113,100,33,,,113,,,https://animaldiversity.org/accounts/Capra_hircus/
Capra_aegagrus,,Bovidae,Caprinae,Caprini,Capra,aegagrus,,,,,,,90,127,33,,,90,,,https://animaldiversity.org/accounts/Capra_aegagrus/
Capra_walie,Walia ibex,Bovidae,Caprinae,Caprini,Capra,walie,100,44,IM,Open,Bro-Jorgensen (2008),125,125,114,13,,,125,,,https://animaldiversity.org/accounts/Capra_walie/
Capra_nubiana,Nubian ibex,Bovidae,Caprinae,Caprini,Capra,nubiana,46.25,60,IM,Open,Heywood (2010),70,85,127,35,,,85,,,https://animaldiversity.org/accounts/Capra_nubiana/
Capra_pyrenaica,Spanish ibex,Bovidae,Caprinae,Caprini,Capra,pyrenaica,50,44,IM,Mixed,Ritz et al (2013),80,120,101,29,,,120,,,https://animaldiversity.org/accounts/Capra_pyrenaica/
Capra_ibex,ibex,Bovidae,Caprinae,Caprini,Capra,ibex,69.3333,60,IM,Open,Clauss et al (2007 CBP),100,120,100,35,,,120,,,https://animaldiversity.org/accounts/Capra_ibex/
Ovis_nivicola,snow sheep,Bovidae,Caprinae,Caprini,Ovis,nivicola,90,54.54,IM,Open,Clauss et al (2011 JZool),,120,93,28,,,120,,,https://animaldiversity.org/accounts/Ovis_nivicola/
Ovis_dalli,Dall's sheep,Bovidae,Caprinae,Caprini,Ovis,dalli,55.6506,56,IM,Open,Pihlstroem et al (2005),113,122,127,20,,,122,,,https://animaldiversity.org/accounts/Ovis_dalli/
Ovis_canadensis,bighorn sheep,Bovidae,Caprinae,Caprini,Ovis,canadensis,74.6449,63,IM,Open,Scott (1985),127,135,126,33,,,135,,,https://animaldiversity.org/accounts/Ovis_canadensis/
Ovis_orientalis,,Bovidae,Caprinae,Caprini,Ovis,orientalis,50,,,,Crile and Quiring (1940),200,160,85,,,,200,,,https://animaldiversity.org/accounts/Ovis_orientalis/
Ovis_aries,mouflon,Bovidae,Caprinae,Caprini,Ovis,aries,50,55.7,IM,Open,Crile and Quiring (1940),200,160,85,,,,200,,,https://animaldiversity.org/accounts/Ovis_aries/
Ovis_ammon,argali,Bovidae,Caprinae,Caprini,Ovis,ammon,180,35,IM,Open,Scott (1985),185,175,180,56,,,185,,,https://animaldiversity.org/accounts/Ovis_ammon/
Nilgiritragus_hylocrius,,Bovidae,Caprinae,Caprini,Nilgiritragus,hylocrius,,,,,,,100,44.5,30,,,100,,,https://animaldiversity.org/accounts/Nilgiritragus_hylocrius/
Hippotragus_niger,sable antelope/mbarapi,Bovidae,Hippotraginae,Hippotragini,Hippotragus,niger,227.4993,85,GR,Mixed,Howland et al (2004),238,250,165,100,,,250,,,https://animaldiversity.org/accounts/Hippotragus_niger/
Hippotragus_leucophaeus,blue buck,Bovidae,Hippotraginae,Hippotragini,Hippotragus,leucophaeus,150,,,,Smith et all 2011,,,,,,,150,,,https://animaldiversity.org/accounts/Hippotragus_leucophaeus/
