scientific_name,common_name,family,subfamily,tribe,genus,specific_epithet,BM_kg,percent_grass,diet_category,habitat,ref,max_BM_kg_animaldiversity,max_BM_kg_castello,HL_male_cm,HL_female_cm,BM_Lemaitre_etal,male_antler_weight_g,max_BM,interspecific_GM,intraspecific_GM,animaldiversity
Muntiacus_vuquangensis,giant muntjac,Cervidae,Cervinae,Muntiacini,Muntiacus,vuquangensis,50,,,,AD,50,,22.75,,45,,50,,,https://animaldiversity.org/accounts/Muntiacus_vuquangensis/
Muntiacus_rooseveltorum,Roosevelt muntjac,Cervidae,Cervinae,Muntiacini,Muntiacus,rooseveltorum,25.6,,,,"no source, for figure 1 purposes I'm saying it's BM is average for genus",,,,,,,25.6,,,https://animaldiversity.org/accounts/Muntiacus_rooseveltorum/
Muntiacus_putaoensis,leaf deer,Cervidae,Cervinae,Muntiacini,Muntiacus,putaoensis,,,,,,12,,3.25,,12,,12,,,https://animaldiversity.org/accounts/Muntiacus_putaoensis/
Muntiacus_truongsonensis,Annamite muntjac,Cervidae,Cervinae,Muntiacini,Muntiacus,truongsonensis,25.6,,,,"no source, for figure 1 purposes I'm saying it's BM is average for genus",,,,,,,25.6,,,https://animaldiversity.org/accounts/Muntiacus_truongsonensis/
Elaphodus_cephalophus,tufted deer,Cervidae,Cervinae,Muntiacini,Elaphodus,cephalophus,33.5,0,BR,Closed,Mendoza et al (2006),50,,2.5,,18,,50,,,https://animaldiversity.org/accounts/Elaphodus_cephalophus/
Rucervus_eldii,Eld's deer,Cervidae,Cervinae,Cervini,Rucervus,eldii,73,89,GR,Open,Clauss pers obs (2005),,,97.15,,105,3400,105,,,https://animaldiversity.org/accounts/Rucervus_eldii/
Elaphurus_davidianus,Pere David's deer,Cervidae,Cervinae,Cervini,Elaphurus,davidianus,149,75,GR,Mixed,Mendoza et al (2006),,,73.7,,214,7900,214,,,https://animaldiversity.org/accounts/Elaphurus_davidianus/
Rusa_alfredi,Visayan spotted deer,Cervidae,Cervinae,Cervini,Rusa,alfredi,59,,,,AD,59,,,,,,59,,,https://animaldiversity.org/accounts/Rusa_alfredi/
Cervus_nippon,sika deer,Cervidae,Cervinae,Cervini,Cervus,nippon,53,50,IM,Mixed,Mendoza et al (2006),80,,48,,52,2520,80,,,https://animaldiversity.org/accounts/Cervus_nippon/
Cervus_elaphus,elk/red deer/wapiti,Cervidae,Cervinae,Cervini,Cervus,elaphus,217.7509,39.1,IM,Mixed,Sacher and Staffeldt (1974),,,93.6,,250,6300,250,,,https://animaldiversity.org/accounts/Cervus_elaphus/
Rusa_timorensis,Javan rusa,Cervidae,Cervinae,Cervini,Rusa,timorensis,160,,,,AD,160,,67.5,,95.5,2500,160,,,https://animaldiversity.org/accounts/Rusa_timorensis/
Rusa_unicolor,sambar,Cervidae,Cervinae,Cervini,Rusa,unicolor,160.4133,45,IM,Mixed,Sacher and Staffeldt (1974),260,,104.9,,192,8200,260,,,https://animaldiversity.org/accounts/Rusa_unicolor/
Cervus_albirostris,white-lipped deer/Thorold's deer,Cervidae,Cervinae,Cervini,Cervus,albirostris,140,,,,AD,140,,115,,204,2950,204,,,https://animaldiversity.org/accounts/Przewalskium_albirostris/
Megaloceros_giganteus,Irish elk,Cervidae,Cervinae,Cervini,Megaloceros,giganteus,700,,,,"Moen et al 1999, Gould 1977",,,,,,,700,,,
Dama_dama,European fallow deer,Cervidae,Cervinae,Cervini,Dama,dama,56.25,46,IM,Mixed,Sacher and Staffeldt (1974),,,61.5,,67,3500,67,,,https://animaldiversity.org/accounts/Dama_dama/
Dama_mesopotamica,Persian fallow deer,Cervidae,Cervinae,Cervini,Dama,mesopotamica,56.25,46,IM,Mixed,Sacher and Staffeldt (1974),,,,,,,56.25,,,https://animaldiversity.org/accounts/Dama_mesopotamica/
Rucervus_schomburgki,Schomburgk's deer,Cervidae,Cervinae,Cervini,Rucervus,schomburgki,143,,,,"no source, same as R. duvaucelli for FIG1",,,,,,,143,,,https://animaldiversity.org/accounts/Rucervus_schomburgki/
Rucervus_duvaucelii,barasingha,Cervidae,Cervinae,Cervini,Rucervus,duvaucelii,143,90,GR,Mixed,Mendoza et al (2006),181,,81.3,,236,7700,236,,,https://animaldiversity.org/accounts/Rucervus_duvaucelii/
Axis_porcinus,hog deer,Cervidae,Cervinae,Cervini,Axis,porcinus,33.2555,50,IM,Mixed,Mendoza et al (2006),50,,39.9,,41,,50,,,https://animaldiversity.org/accounts/Axis_porcinus/
Axis_kuhlii,Bawean deer,Cervidae,Cervinae,Cervini,Axis,kuhlii,55,,,,Smith et all 2011,,,,,,,55,,,https://animaldiversity.org/accounts/Axis_kuhlii/
Axis_axis,chital,Cervidae,Cervinae,Cervini,Axis,axis,62.3456,70,IM,Open,Clauss et al (2011 JZool),45,,84.5,,89.5,2300,89.5,,,https://animaldiversity.org/accounts/Axis_axis/
Hydropotes_inermis,water deer,Cervidae,Hydropotinae,Hydropotini,Hydropotes,inermis,14,50,IM,Open,Mendoza et al (2006),18.5,,,,,,18.5,,,https://animaldiversity.org/accounts/Hydropotes_inermis/
Capreolus_pygargus,eastern roe deer,Cervidae,Capreolinae,Capreolini,Capreolus,pygargus,102,,,,Smith et all 2011,,,30.45,,42,,42,,,https://animaldiversity.org/accounts/Capreolus_pygargus/
Capreolus_capreolus,western roe deer,Cervidae,Capreolinae,Capreolini,Capreolus,capreolus,22.5,5.3,BR,Closed,Schiviz et al (2008),30,,23.35,,28,300,30,,,https://animaldiversity.org/accounts/Capreolus_capreolus/
Rangifer_tarandus,caribou/reindeer,Cervidae,Capreolinae,Rangiferini,Rangifer,tarandus,86.034,33.1,IM,Mixed,Crile and Quiring (1940),318,,91,,106.5,12000,318,,,https://animaldiversity.org/accounts/Rangifer_tarandus/
Pudu_mephistophiles,northern pudu,Cervidae,Capreolinae,Rangiferini,Pudu,mephistophiles,9,3,BR,Closed,Mendoza et al (2006),,,,,,,9,,,https://animaldiversity.org/accounts/Pudu_mephistophiles/
Mazama_rufina,little red brocket,Cervidae,Capreolinae,Rangiferini,Mazama,rufina,25.998,,,,Smith et all 2011,,,,,,,25.998,,,https://animaldiversity.org/accounts/Mazama_rufina/
Odocoileus_virginianus,white-tailed deer,Cervidae,Capreolinae,Rangiferini,Odocoileus,virginianus,55.5086,9.9,BR,Mixed,Mendoza et al (2002),137,,65.6,,154.5,1500,154.5,,,https://animaldiversity.org/accounts/Odocoileus_virginianus/
Odocoileus_hemionus,mule deer,Cervidae,Capreolinae,Rangiferini,Odocoileus,hemionus,54.2126,11,BR,Mixed,Hummel et al (2006),150,,88.5,,112.5,1650,150,,,https://animaldiversity.org/accounts/Odocoileus_hemionus/
Mazama_nana,pygmy brocket,Cervidae,Capreolinae,Rangiferini,Mazama,nana,16.4999,,,,Smith et all 2011,,,,,,,16.4999,,,https://animaldiversity.org/accounts/Mazama_nana/
Mazama_bororo,São Paulo Bororó,Cervidae,Capreolinae,Rangiferini,Mazama,bororo,25,,,,https://www.fcnym.unlp.edu.ar/catedras/proteccion/tp3/Neotropical01.pdf,,,,,,,25,,,https://animaldiversity.org/accounts/Mazama_bororo/
Mazama_americana,Red brocket,Cervidae,Capreolinae,Rangiferini,Mazama,americana,22.7997,1,BR,Closed,Mendoza et al (2006),55,,11.5,,24.5,56,55,,,https://animaldiversity.org/accounts/Mazama_americana/
Mazama_temama,Central American red brocket,Cervidae,Capreolinae,Rangiferini,Mazama,temama,21.4,,,,average of other Mazama for Fig1,,,,,,,21.4,,,https://animaldiversity.org/accounts/Mazama_temama/
Mazama_pandora,Yucatan brown brocket,Cervidae,Capreolinae,Rangiferini,Mazama,pandora,21.4,,,,average of other Mazama for Fig1,,,,,,,21.4,,,https://animaldiversity.org/accounts/Mazama_pandora/
Hippocamelus_antisensis,taruca,Cervidae,Capreolinae,Rangiferini,Hippocamelus,antisensis,68.5993,,,,Smith et all 2011,68.6,,,,,,68.6,,,https://animaldiversity.org/accounts/Hippocamelus_antisensis/
Mazama_gouazoubira,South American brown brocket,Cervidae,Capreolinae,Rangiferini,Mazama,gouazoubira,16.3001,,,,Smith et all 2011,25,,9.25,,18,,25,,,https://animaldiversity.org/accounts/Mazama_gouazoubira/
Hippocamelus_bisulcus,Chilean guemal,Cervidae,Capreolinae,Rangiferini,Hippocamelus,bisulcus,70.0003,2,BR,Closed,Mendoza et al (2006),,,30,,95,,95,,,https://animaldiversity.org/accounts/Hippocamelus_bisulcus/
Ozotoceros_bezoarticus,Pampas deer,Cervidae,Capreolinae,Rangiferini,Ozotoceros,bezoarticus,40,75,GR,Open,Mendoza et al (2006),40,,21,,33.5,257,40,,,https://animaldiversity.org/accounts/Ozotoceros_bezoarticus/
Mazama_nemorivaga,,Cervidae,Capreolinae,Rangiferini,Mazama,nemorivaga,21.4,,,,average of other Mazama for Fig1,,,,,,,21.4,,,https://animaldiversity.org/accounts/Mazama_nemorivaga/
Blastocerus_dichotomus,marsh deer,Cervidae,Capreolinae,Rangiferini,Blastocerus,dichotomus,86.6662,24,BR,Open,Mendoza et al (2006),125,,60,,130,,130,,,https://animaldiversity.org/accounts/Blastocerus_dichotomus/
Pudu_puda,southern pudu,Cervidae,Capreolinae,Rangiferini,Pudu,puda,9.7499,3,BR,Closed,Mendoza et al (2006),15,,8.5,,13,13,15,,,https://animaldiversity.org/accounts/Pudu_puda/
Alces_americanus,American moose/moose,Cervidae,Capreolinae,Alceini,Alces,americanus,600,,,,AD,600,,,,,,600,,,https://animaldiversity.org/accounts/Alces_americanus/
Alces_alces,Eurasian moose/Eaurasian elk,Cervidae,Capreolinae,Alceini,Alces,alces,355,5,BR,Closed,Mendoza et al (2006),771,,144,,482.5,11000,771,,,https://animaldiversity.org/accounts/Alces_alces/
Moschus_leucogaster,Himilayan musk deer,Moschidae,Moschinae,Moschini,Moschus,leucogaster,,,,,,18,,,,,,18,,,https://animaldiversity.org/accounts/Moschus_leucogaster/
Moschus_fuscus,dusky musk deer,Moschidae,Moschinae,Moschini,Moschus,fuscus,,,,,,15,,,,,,15,,,https://animaldiversity.org/accounts/Moschus_fuscus/
Moschus_chrysogaster,alpine musk deer,Moschidae,Moschinae,Moschini,Moschus,chrysogaster,,,,,,15,,,,,,15,,,https://animaldiversity.org/accounts/Moschus_chrysogaster/
Moschus_anhuiensis,,Moschidae,Moschinae,Moschini,Moschus,anhuiensis,,,,,average of moschus for fig1,,,,,,,16,,,https://animaldiversity.org/accounts/Moschus_anhuiensis/
Moschus_berezovskii,,Moschidae,Moschinae,Moschini,Moschus,berezovskii,,,,,average of moschus for fig1,,,,,,,16,,,https://animaldiversity.org/accounts/Moschus_berezovskii/
Moschus_moschiferus,Siberian musk deer,Moschidae,Moschinae,Moschini,Moschus,moschiferus,13,2.3,BR,Closed,Mendoza et al (2006),17,,,,,,17,,,https://animaldiversity.org/accounts/Moschus_moschiferus/
Tragelaphus_imberbis,lesser kudu,Bovidae,Bovinae,Tragelaphini,Tragelaphus,imberbis,,,,,,,105,90,,,,105,,,https://animaldiversity.org/accounts/Tragelaphus_imberbis/
Tragelaphus_oryx,,Bovidae,Bovinae,Tragelaphini,Tragelaphus,oryx,569.9936,10,BR,Mixed,Sacher and Staffeldt (1974),,1000,65,68,,,1000,,,https://animaldiversity.org/accounts/Tragelaphus_oryx/
Tragelaphus_derbianus,,Bovidae,Bovinae,Tragelaphini,Tragelaphus,derbianus,680,5,BR,Mixed,Stoeckman (1975),,900,120,,,,900,,,https://animaldiversity.org/accounts/Tragelaphus_derbianus/
Tragelaphus_scriptus,bushbuck,Bovidae,Bovinae,Tragelaphini,Tragelaphus,scriptus,43.2504,10,BR,Mixed,Crile and Quiring (1940),80,80,55,0,,,80,,,https://animaldiversity.org/accounts/Tragelaphus_scriptus/
Tragelaphus_spekii,sitatunga,Bovidae,Bovinae,Tragelaphini,Tragelaphus,spekii,77.9992,67.5,IM,Mixed,Mendoza et al (2006),125,125,90,0,,,125,,,https://animaldiversity.org/accounts/Tragelaphus_spekii/
Tragelaphus_eurycerus,bongo,Bovidae,Bovinae,Tragelaphini,Tragelaphus,eurycerus,329.0031,20,BR,Closed,Mendoza et al (2006),405,400,100,,,,405,,,https://animaldiversity.org/accounts/Tragelaphus_eurycerus/
Tragelaphus_strepsiceros,greater kudu,Bovidae,Bovinae,Tragelaphini,Tragelaphus,strepsiceros,213.501,5,BR,Mixed,Schiviz et al (2008),315,315,140,0,,,315,,,https://animaldiversity.org/accounts/Tragelaphus_strepsiceros/
Tragelaphus_angasii,nyala,Bovidae,Bovinae,Tragelaphini,Tragelaphus,angasii,86.6004,20,BR,Mixed,Mendoza et al (2006),126,140,83,0,,,140,,,https://animaldiversity.org/accounts/Tragelaphus_angasii/
Pseudoryx_nghetinhensis,Saola/Vu Quang ox,Bovidae,Bovinae,Tragelaphini,Pseudoryx,nghetinhensis,92.5,0,BR,Closed,Bro-Jorgensen (2008),100,100,55,55,,,100,,,https://animaldiversity.org/accounts/Pseudoryx_nghetinhensis/
Bos_sauveli,kouprey,Bovidae,Bovinae,Bovini,Bos,sauveli,800,78.1,GR,Mixed,Bro-Jorgensen (2008),910,900,80,40,,,910,,,https://animaldiversity.org/accounts/Bos_sauveli/
Bos_gaurus,gaur,Bovidae,Bovinae,Bovini,Bos,gaurus,,,,,,,1000,85,,,,1000,,,https://animaldiversity.org/accounts/Bos_gaurus/
Bos_grunniens,yak,Bovidae,Bovinae,Bovini,Bos,grunniens,333,85.5,GR,Mixed,Sacher and Staffeldt (1974),1000,593,95,51,,,1000,,,https://animaldiversity.org/accounts/Bos_grunniens/
Bos_mutus,yak,Bovidae,Bovinae,Bovini,Bos,mutus,,,,,,,1000,95,51,,,1000,,,https://animaldiversity.org/accounts/Bos_mutus/
Bison_bison,American bison,Bovidae,Bovinae,Bovini,Bison,bison,579.2553,84,GR,Open,Burton (2006),900,,,,,,900,,,https://animaldiversity.org/accounts/Bison_bison/
Bos_taurus,aurochs/domesticated cattle,Bovidae,Bovinae,Bovini,Bos,taurus,900,69.7,IM,Open,Sacher and Staffeldt (1974),1363,1300,100,,,,1363,,,https://animaldiversity.org/accounts/Bos_taurus/
Bos_primigenius,,Bovidae,Bovinae,Bovini,Bos,primigenius,917.3,,,,average of Bos,,,,,,,917.3,,,https://animaldiversity.org/accounts/Bos_primigenius/
Bos_indicus,,Bovidae,Bovinae,Bovini,Bos,indicus,,,,,,,200,100,,,,200,,,https://animaldiversity.org/accounts/Bos_indicus/
Bos_javanicus,banteng,Bovidae,Bovinae,Bovini,Bos,javanicus,700,80,GR,Open,Scott (1985),800,800,87,,,,800,,,https://animaldiversity.org/accounts/Bos_javanicus/
Bos_frontalis,gayal,Bovidae,Bovinae,Bovini,Bos,frontalis,800,94,GR,Mixed,Clauss et al (2007 CBP),1000,560,85,,,,1000,,,https://animaldiversity.org/accounts/Bos_frontalis/
Bison_bonasus,European bison/wisent,Bovidae,Bovinae,Bovini,Bison,bonasus,500,68,IM,Closed,Mendoza et al (2006),1000,1000,,,,,1000,,,https://animaldiversity.org/accounts/Bison_bonasus/
Syncerus_caffer,American buffalo,Bovidae,Bovinae,Bovini,Syncerus,caffer,580.0027,90,GR,Mixed,Crile and Quiring (1940),835,900,160,,,,900,,,https://animaldiversity.org/accounts/Syncerus_caffer/
Bubalus_quarlesi,mountain anoa,Bovidae,Bovinae,Bovini,Bubalus,quarlesi,,,,,,300,150,20,,,,300,,,https://animaldiversity.org/accounts/Bubalus_quarlesi/
Bubalus_depressicornis,anoa,Bovidae,Bovinae,Bovini,Bubalus,depressicornis,300,38.5,IM,Closed,Clauss et al (2007 CBP),225,250,37,,,,300,,,https://animaldiversity.org/accounts/Bubalus_depressicornis/
Bubalus_arnee,asian water buffalo,Bovidae,Bovinae,Bovini,Bubalus,arnee,825,51,IM,Mixed,Schiviz et al (2008),,1200,,,,,1200,,,https://animaldiversity.org/accounts/Bubalus_arnee/
Bubalus_mindorensis,tamaraw,Bovidae,Bovinae,Bovini,Bubalus,mindorensis,233.3333,44.75,IM,Mixed,Bro-Jorgensen (2008),300,274,51,,,,300,,,https://animaldiversity.org/accounts/Bubalus_mindorensis/
Tetracerus_quadricornis,four-horned antelope,Bovidae,Bovinae,Boselaphini,Tetracerus,quadricornis,19,0,BR,Mixed,Mendoza et al (2006),25,25,12,0,,,25,,,https://animaldiversity.org/accounts/Tetracerus_quadricornis/
Boselaphus_tragocamelus,nilgai,Bovidae,Bovinae,Boselaphini,Boselaphus,tragocamelus,169,35.2,IM,Mixed,Pihlstroem et al (2005),240,290,25,0,,,290,,,https://animaldiversity.org/accounts/Boselaphus_tragocamelus/
Raphicerus_melanotis,Cape grysbok,Bovidae,Antilopinae,Neotragini,Raphicerus,melanotis,10.2499,30,IM,Mixed,Mendoza et al (2006),23,13,8,0,,,23,,,https://animaldiversity.org/accounts/Raphicerus_melanotis/
Raphicerus_campestris,steenbok,Bovidae,Antilopinae,Neotragini,Raphicerus,campestris,10.5,10,BR,Open,Crile and Quiring (1940),16,16,19,0,,,16,,,https://animaldiversity.org/accounts/Raphicerus_campestris/
Raphicerus_sharpei,Sharpe's grysbok,Bovidae,Antilopinae,Neotragini,Raphicerus,sharpei,9.4999,30,IM,Mixed,Perez-Barberia and Gordon (2001),16,11,4.5,0,,,16,,,https://animaldiversity.org/accounts/Raphicerus_sharpei/
Madoqua_saltiana,Salt's dik-dik,Bovidae,Antilopinae,Neotragini,Madoqua,saltiana,3.25,10,BR,Mixed,Heywood (2010),6,4,9,0,,,6,,,https://animaldiversity.org/accounts/Madoqua_saltiana/
Madoqua_kirkii,Kirk's dik-dik,Bovidae,Antilopinae,Neotragini,Madoqua,kirkii,5.3001,17,BR,Open,Crile and Quiring (1940),6,6.5,11.4,0,,,6.5,,,https://animaldiversity.org/accounts/Madoqua_kirkii/
Madoqua_guentheri,Günther's dik-dik,Bovidae,Antilopinae,Neotragini,Madoqua,guentheri,7.5,5,BR,Open,Mendoza et al (2006),5,5,9.8,0,,,7.5,,,https://animaldiversity.org/accounts/Madoqua_guentheri/
Dorcatragus_megalotis,beira,Bovidae,Antilopinae,Neotragini,Dorcatragus,megalotis,10.2499,5,BR,Open,Mendoza et al (2006),,13,10,0,,,13,,,https://animaldiversity.org/accounts/Dorcatragus_megalotis/
Saiga_tatarica,saiga,Bovidae,Antilopinae,Saigini,Saiga,tatarica,29,26,IM,Open,Mendoza et al (2006),45,51,38,0,,,51,,,https://animaldiversity.org/accounts/Saiga_tatarica/
Nanger_granti,Grant's gazelle,Bovidae,Antilopinae,Antilopini,Nanger,granti,54.9997,50,IM,Open,Mendoza et al (2006),65,80,80,43,,,80,,,https://animaldiversity.org/accounts/Nanger_granti/
Nanger_dama,dama gazelle,Bovidae,Antilopinae,Antilopini,Nanger,dama,61.1,47.5,IM,Open,Bro-Jorgensen (2008),75,75,43,,,,75,,,https://animaldiversity.org/accounts/Nanger_dama/
